model,MAE,RMSE,MASE,Bias
sarimax,36.25453501161881,64.73598723415866,0.6786217117987402,-6.325350808423541
sarimax_exog,36.86334648784519,65.58988869499152,0.690017601610237,-6.528811569375434
seasonal_naive_weekly,43.45734126984127,81.40888006825948,0.8134456920578473,-13.159722222222223
seasonal_naive_daily,48.30853174603175,85.56471876821426,0.9042515232223918,1.750992063492064
mean,50.25809156123767,74.938304240935,0.9407438853124056,-3.286761541802698
naive,85.55059523809524,110.38970919802894,1.6013580471317992,50.97718253968254
